drug,route,sedative,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
Heparin,SC,0,0,0,0,0,0,0,1,0,0,0
Magnesium Sulfate,IV,0,0,0,0,0,0,0,1,1,0,0
Insulin,SC,0,0,0,0,0,0,0,1,1,0,0
Sodium Chloride 0.9%,IV,0,0,0,0,0,0,0,1,1,0,0
Lactated Ringers,IV,0,0,0,0,0,0,0,1,1,0,0
Insulin,SC,0,0,0,0,0,0,0,1,1,0,0
0.9% Sodium Chloride,IV,0,0,0,0,0,0,0,1,1,0,0
Vancomycin,IV,0,0,0,0,0,0,0,1,1,0,0
Docusate Sodium,PO,0,0,0,0,0,0,0,1,1,0,0
Senna,PO/NG,0,0,0,0,0,0,0,1,1,0,0
Dextrose 50%,IV,0,0,0,0,0,0,0,1,1,0,0
HYDROmorphone (Dilaudid),IV,0,1,1,0,0,1,1,1,1,0,0
0.9% Sodium Chloride,IV,0,0,0,0,0,0,0,1,1,0,0
0.9% Sodium Chloride (Mini Bag Plus),IV,0,0,0,0,0,0,0,1,1,0,0
Bisacodyl,PR,0,0,0,0,0,0,0,1,1,0,0
Acetaminophen,PO/NG,0,0,0,0,0,0,0,1,1,0,0
Metoprolol Tartrate,PO/NG,0,0,0,0,0,0,0,1,1,0,0
Docusate Sodium,PO/NG,0,0,0,0,0,0,0,1,1,0,0
Glucagon,IM,0,0,0,0,0,0,0,1,1,0,0
OxycoDONE (Immediate Release),PO/NG,0,0,0,0,0,0,0,1,1,0,0
Ondansetron,IV,0,0,0,0,0,0,0,1,1,0,0
Potassium Chloride,IV,0,0,0,0,0,0,0,1,1,0,0
0.9% Sodium Chloride,IV,0,0,0,0,0,0,0,1,1,0,0
Glucose Gel,PO,0,0,0,0,0,0,0,1,1,0,0
Acetaminophen,PO/NG,0,0,0,0,0,0,0,1,1,0,0
Furosemide,IV,0,0,0,0,0,0,0,1,1,0,0
Acetaminophen IV,IV,0,0,0,0,0,0,0,1,1,0,0
D5 1/2NS,IV,0,0,0,0,0,0,0,1,1,0,0
